"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020034871","","15","N","2","2","","1","06","Y","BUIC","2011","","","","","","","","","5GAKVBEDXBJ","0","","1","00","N","S","000","","","2","02","07","06","11","PA","2","06","T4W"
"2020035012","","69","N","3","1","","1","02","Y","KIA","2019","","","","","","","","02","5XYPG4A30KG","2","","1","00","Y","W","020","","","2","01","12","01","01","PA","3","06","T"
"2020091244","","","N","9","3","","1","99","N","","","","","","","","","","01","","0","","1","00","N","W","000","","","4","05","99","03","06","ZZ","2","99",""
"2020011435","","69","N","3","1","","1","12","U","NISS","2019","","","","","","","","01","5N1AT2MV2KC","1","","1","00","Y","S","040","0","","1","01","05","01","01","PA","1","06","T"
"2020048220","","","","","","","","","","","","U","01","99","0","U","01","U","","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020047558","","","N","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020016750","","","N","9","4","","1","12","U","UNKN","","","","","","","","","99","","1","","1","00","N","N","999","0","","1","05","99","01","99","","1","99",""
"2020053201","","51","N","1","1","","3","06","Y","CHEV","2017","","","","","","","","01","1GCVKREC2HZ","1","","1","00","N","W","000","","","3","01","05","03","03","PA","2","04","T4C"
"2020041955","","15","N","3","1","","1","12","Y","CHEV","2005","","","","","","","","01","1GNDT13SX52","1","","1","00","Y","W","999","","","1","01","02","15","06","PA","1","06","T4W"
"2020026221","","","N","","","","","","","","","Y","04","99","1","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020074529","","51","N","3","1","","1","11","Y","FORD","2001","","","","","","","","01","1FTRW08L81K","1","","1","00","Y","W","045","","","1","01","05","15","06","NJ","1","04","TCW"
"2020058957","","","","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","1","30","","99","99","","2","31",""
