"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2021035599","","5","02","","67","E","5","4","","","25","E VENANGO ST"
"2021089652","3","3","2","3501","67","N","3","2","3019","0070","35","PASSYUNK AV"
"2021014940","","3","99","","67","S","3","4","","","25","N 48TH ST"
"2021123127","3","3","2","526","67","W","3","2","4004","0010","35","CHEW AV"
"2021074699","3","3","3","799","67","N","3","2","3015","0040","25","COBBS CREEK PY"
"2021108837","","4","02","","67","S","3","4","","","25","DECATUR RD"
"2021063670","","5","01","","67","W","5","4","","","35","OXFORD ST"
"2021015534","3","3","3","3346","67","S","3","2","6001","0291","45","ROOSEVELT BL"
"2021100832","3","3","02","1024","67","N","3","2","1004","0130","30","TORRESDALE AV"
"2021077888","3","4","2","2060","67","S","4","2","1013","0031","35","ACADEMY RD"
"2021061260","3","3","2","741","67","S","3","2","0001","0031","35","CITY AV"
"2021104882","3","3","2","0","67","N","3","2","3005","0130","35","BELMONT AV"
"2021044129","","4","02","","67","S","3","4","","","","12TH ST"
"2021112419","","3","02","","67","E","4","4","","","20","MOUNT PLEASANT AV"
"2021084925","","4","01","","67","W","3","4","","","20","PIKE ST"
"2021057707","","4","02","","67","N","3","4","","","20","N 41ST ST"
"2021027921","","3","01","","67","W","3","4","","","25","RITTENHOUSE SQ"
"2021098396","","4","01","","67","W","3","4","","","20","MCKEAN ST"
"2021008755","3","3","04","418","67","S","3","2","4002","0060","35","STENTON AV"
"2021116016","3","3","2","2033","67","S","3","2","4005","0050","25","GERMANTOWN AV"
"2021042336","3","5","02","0","67","N","5","2","4003","0010","40","WISSAHICKON AV"
"2021114757","1","3","1","273","67","S","3","2","8003","0530","20","RAMP TO FRONT ST"
"2021036989","","4","02","","67","N","3","4","","","25","56TH ST"
"2021002596","3","3","02","0","67","N","3","2","4004","0010","35","CHEW AV"
"2021077918","","3","01","","67","N","4","4","","","20","31ST ST"
"2021064196","","3","02","","67","W","3","4","","","25","GREEN LN"
"2021006055","","4","02","","67","W","3","4","","","","66TH AV"
"2021064390","","4","01","","67","E","3","4","","","20","ALBANUS ST"
"2021018070","3","5","2","2285","67","E","5","2","0073","0060","30","COTTMAN AV"
"2021102697","3","3","2","0","67","E","3","2","0013","0090","25","GIRARD AV"
"2021041066","3","4","02","0","67","E","4","2","1014","0080","35","RHAWN ST"
"2022000169","3","4","2","1872","67","S","4","2","0291","0141","25","BROAD ST"
"2021026878","1","3","3","3403","67","N","3","1","0095","0230","55","DELAWARE EX"
"2021031122","1","3","4","856","67","E","3","1","0076","3410","50","SCHUYLKILL EX"
"2021087750","3","3","4","2599","67","W","3","2","0030","0020","30","LANCASTER AV"
"2021051567","3","3","3","546","67","N","3","2","0001","0060","35","CITY AV"
"2021003754","3","3","3","579","67","E","3","2","2016","0070","30","ALLEGHENY AV"
"2021055977","","4","01","","67","E","3","4","","","20","PAGE ST"
"2021001290","","3","01","","67","E","3","4","","","20","PINE ST"
"2021073543","3","3","2","563","67","N","3","2","1005","0140","30","CASTOR AV"
"2021028391","","7","02","","67","U","7","4","","","25","THIRTYFOURTH ST"
"2021104775","3","6","2","0","67","S","6","2","3013","0011","35","ISLAND AV"
"2021014696","3","4","3","973","67","S","4","2","3019","0011","35","BARTRAM AV"
"2021093578","3","3","2","607","67","E","3","2","0073","0030","30","COTTMAN AV"
"2021030131","","4","01","","67","W","3","4","","","20","SANSOM ST"
"2021036433","1","4","1","0","67","N","4","2","8025","0010","20","RAMP RD"
"2021090952","","4","02","","67","N","5","4","","","20","N 4TH ST"
"2021012838","","4","02","","67","N","3","4","","","","BELMONT MANSION DR"
"2021069766","3","3","2","1320","67","E","3","2","2006","0080","25","SPRING GARDEN ST"
"2021007140","1","3","03","734","67","W","3","1","0076","3415","50","SCHUYLKILL EX"
"2021071074","","4","02","","67","S","3","4","","","20","75TH ST"
"2021036780","3","3","2","1801","67","N","3","2","1009","0150","25","BUSTLETON AV"
"2021084739","3","3","2","2574","67","N","3","2","0611","0190","30","BROAD ST"
"2021021754","3","3","3","1529","67","N","3","2","2001","0070","35","CHRISTOPHER COLUMBUS BL"
"2021015116","1","3","3","1004","67","S","3","1","0095","0211","55","DELAWARE EX"
"2021115901","","4","2","","67","S","3","4","","","25","MASCHER ST"
"2021037293","","4","02","","67","E","3","4","","","","MAYFAIR ST"
"2021090809","","5","02","","67","N","5","4","","","30","FIFTH ST"
"2021106276","3","3","4","2297","67","N","3","2","0611","0004","35","BROAD ST"
"2021045228","","4","2","","67","N","4","4","","","35","W OREGON AV"
"2021003749","","4","02","","67","N","3","4","","","","A ST"
"2021124764","","4","01","","67","W","3","4","","","","SUSQUEHANNA AV"
"2021035983","","3","02","","67","S","3","4","","","30","LINCOLN DR"
"2021091834","3","3","02","0","67","E","3","2","2002","0050","25","SNYDER AV"
"2021065459","1","3","4","1503","67","S","3","1","0095","0311","55","DELAWARE EX"
"2021026591","","3","01","","67","E","4","4","","","20","WOLF ST"
"2021120672","1","3","4","1073","67","S","3","1","0095","0285","55","DELAWARE EX"
"2021073513","","4","01","","67","W","4","4","","","20","ELKINS AV"
"2021049749","3","4","2","605","67","E","4","2","1009","0040","25","BRIDGE ST"
"2021083160","3","3","02","2257","67","E","3","2","1016","0020","30","HOLME AV"
"2021069816","3","3","02","1164","67","N","3","2","3004","0020","25","SIXTYFIFTH ST"
"2021022585","3","4","2","0","67","S","4","2","3013","0031","35","ISLAND AV"
"2021078730","","4","02","","67","E","4","4","","","25","CHELTENHAM AV"
"2021038470","3","5","3","899","67","N","3","2","6001","0240","40","ROOSEVELT BL"
"2021004055","3","4","02","1783","67","W","4","2","4021","0020","25","MT AIRY AV"
"2021080452","","4","02","","67","N","4","4","","","","FORTYSECOND ST"
"2021076456","1","3","4","2574","67","N","3","1","0095","0300","55","DELAWARE EX"
"2021108245","","3","02","","67","N","4","4","","","20","FRONTENAC ST"
"2021024514","3","4","2","0","67","S","4","2","0532","0051","35","BUSTLETON AV"
"2021010206","","3","01","","67","N","3","4","","","20","ALMOND ST"
"2021114209","","3","01","","67","S","3","4","","","25","UMBRIA ST"
"2021028162","3","3","2","1540","67","E","3","2","4017","0050","25","UPSAL ST"
"2021109270","3","4","3","1723","67","S","4","2","0611","0081","30","BROAD ST"
"2021104953","3","5","2","0","67","N","5","2","1005","0150","30","CASTOR AV"
"2021070515","3","3","3","649","67","S","3","2","6001","0155","40","ROOSEVELT BL"
"2021110526","1","3","3","1298","67","E","3","1","0676","0004","55","VINE STREET EX"
"2021060952","1","3","4","1024","67","N","3","1","0095","0224","55","DELAWARE EX"
"2021003612","1","3","2","535","67","E","3","1","0076","3440","50","SCHUYLKILL EX"
"2021106722","","4","02","","67","N","4","4","","","20","FORTYSEVENTH ST"
"2021057910","","5","02","","67","S","5","4","","","30","FOURTH ST"
"2021126178","","3","02","","67","N","4","4","","","20","GREENE ST"
"2021125829","","3","02","","67","W","3","4","","","20","SANFORD ST"
"2021042603","3","3","5","1973","67","E","3","2","3010","0054","30","MARKET ST"
