"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020034046","","0","ZZ","999999999999","9999","7","2"
"2020043956","","0","IN","P839280","2020","7","1"
"2020060502","","0","MD","763084G","2000","7","4"
"2020076584","","0","ME","2568949","2025","7","2"
"2020084163","","0","PA","999999999999","2020","7","2"
"2020060683","","0","WI","685751","2021","7","1"
"2020077972","","0","TN","U338156","2020","7","2"
"2020110921","","0","PA","YTB0735","2021","7","2"
"2020036882","","0","PA","PT265BO","2020","6","2"
"2020108031","","0","IL","669762","2018","7","2"
"2020046706","","0","NC","AF80339","2021","7","1"
"2020062830","","0","IN","999999999999","2018","7","1"
"2020010544","","0","OK","2883GU","2020","7","2"
"2020016624","","0","DE","T45560","2021","7","1"
"2020014641","","0","PA","XLS5230","2020","7","2"
"2020079601","","0","TN","T684366","2099","7","1"
"2020077878","","0","PA","XLN8737","2019","6","1"
"2021004307","","0","ME","245304F","2021","7","2"
"2020089535","","0","PA","PT095E3","2021","3","2"
"2020008749","","0","AZ","85611F","2020","7","2"
"2020030029","","0","LA","L333634","2020","7","2"
"2020113988","","0","IN","P783197","2020","7","2"
"2020018878","","0","PA","BA69023","2020","1","2"
"2020059121","","0","PA","PT7866R","2020","7","2"
"2020036586","","0","TN","731385","2020","7","1"
"2020041690","","0","PA","PT6100V","2020","7","1"
"2020058961","","0","VA","842938TL","2008","7","1"
"2020109702","","0","NJ","TVB87M","2022","7","1"
"2020040155","","0","IN","P52485","2020","7","2"
"2020059357","","0","OK","9463L0","2020","6","2"
"2020092387","","0","PA","999999999999","1984","1","1"
"2020096712","","0","PA","XMB7564","2020","7","2"
"2020105500","","0","PA","9896409","2021","6","2"
"2020031188","","0","IN","P794401","2023","7","2"
"2020035014","","0","PA","ZNY3794","2020","2","1"
"2020108338","","0","VA","386092TL","2099","7","2"
"2020020070","","0","IN","P624602","2020","7","2"
"2020034812","","0","PA","LHL1939","2005","8","1"
"2020059467","","0","TN","U787695","2020","7","2"
"2020004215","","0","TN","T715779","2020","7","2"
"2020028566","","0","PA","AG38409","2016","7","1"
"2020045321","","0","FL","7086CL","2020","7","2"
"2020070629","","0","ME","2937134","2015","7","1"
"2020035275","","0","NJ","TVJ23F","2020","7","3"
"2020030710","","0","ME","223189E","2022","7","2"
"2020069893","","0","TN","U199504","","7","1"
"2020044235","","0","IN","P953107","2020","7","1"
"2020092330","","0","DE","XP820949","2020","6","4"
"2020023259","","0","ZZ","999999999999","9999","7","3"
"2020024123","","0","IN","P645489","2020","7","1"
"2020089103","","0","PA","XN27331","2022","3","1"
"2020089968","","0","TN","T753793","2020","7","1"
"2020094376","","0","PA","PT963J7","2020","7","1"
"2020060632","","0","ME","441504Z","2020","7","1"
"2020019627","","0","OR","HV28184","2019","7","3"
"2020058955","","0","PA","XJE4554","2020","7","2"
"2020083791","","0","IN","P840549","2020","7","2"
"2020101208","","0","PA","PT819D2","2021","7","2"
"2020080640","","0","ME","36TLR2755Z","2016","6","1"
"2020045215","","0","ME","232984G","2023","7","1"
"2020014570","","0","ME","2211970","2000","7","1"
"2020013218","","0","ZZ","999999999999","9999","7","1"
"2020027259","","0","PA","XLT3213","2025","6","1"
"2020039847","","0","ZZ","999999999999","9999","7","1"
"2020105506","","0","ME","22TLR58930","9999","7","2"
"2020024963","","0","PA","PT800D8","2018","7","2"
"2020031281","","0","ZZ","999999999999","9999","7","2"
"2020080431","","0","PA","HWZ8925","2018","1","2"
"2020101882","","0","NE","15210W","2020","7","2"
"2020105881","","0","ZZ","999999999999","2000","3","1"
"2020005205","","0","OH","N/A","2020","7","1"
"2020020206","","0","NJ","TDS14X","2020","7","1"
"2020054125","","0","IN","P767033","2020","7","2"
"2020048413","","0","ZZ","999999999999","9999","7","2"
"2020031503","","0","OR","HV40231","2021","7","1"
"2020090864","","0","PA","MG5994L","2020","9","1"
"2020060194","","0","ID","TL3459","2020","7","1"
"2020091635","","0","CA","HV20423","2018","7","3"
"2020103603","","0","NC","T718590","2018","7","2"
"2020019697","","0","PA","XHS3518","2020","7","1"
"2020022366","","0","ME","23TLR97658","2020","7","1"
"2020057204","","0","IL","T518366","2020","7","2"
"2020072490","","0","IN","P999916","2020","7","1"
"2020086213","","0","LA","J722608","2019","7","2"
"2020059430","","0","OK","CC3992","2021","7","1"
"2020103321","","0","CT","AZ84154","2020","6","1"
"2020027231","","0","NJ","TVU79H","2020","7","2"
"2020083240","","0","NJ","TAD96A","2024","7","2"
"2020020021","","0","ZZ","","","","1"
"2020091635","","0","ME","27-6142D","2000","7","2"
"2020089878","","0","PA","PT9390K","2020","7","2"
"2020109312","","0","ME","2915349","2029","7","1"
"2020058848","","0","ZZ","999999999999","2020","7","1"
"2021009271","","0","NJ","TUT709","2021","3","1"
"2020011784","","0","OK","2WL698","2020","7","1"
"2020063233","","0","NJ","TUK39U","2021","7","1"
"2020075167","","0","DE","T6214","2020","7","2"
"2020087792","","0","PA","XJW9512","2020","6","2"
"2020047380","","0","PA","1724STP","2021","7","1"
"2020086807","","0","DE","T5171","2021","7","1"
"2020097741","","0","ME","217860D","2021","6","1"
"2020012435","","0","ZZ","999999999999","9999","7","2"
"2020083791","","0","TN","U960145","2018","7","1"
"2020094025","","0","IL","T543199","2019","7","1"
"2020038351","","0","NJ","TWE99T","2020","7","2"
"2020087339","","0","ON","J4710T","2020","7","1"
"2020089093","","0","ME","2376306","2021","7","1"
"2020089268","","0","TN","U722931","2013","7","2"
"2020040493","","0","MX","2470617","2023","7","1"
"2020060512","","0","IL","698056ST","2020","7","1"
"2020032053","","0","IL","477430ST","2020","7","2"
"2020039871","","0","VA","921595TL","2020","1","2"
"2020076652","","0","ON","S20-72A","2012","7","1"
"2020045265","","0","SC","37924PT","2017","3","2"
"2020086178","","0","PA","PT851B7","2020","7","1"
"2020002460","","0","ZZ","999999999999","9999","7","1"
"2020035441","","0","NJ","TFT73P","1999","7","2"
"2020020846","","0","NJ","H38JVX","2020","7","1"
"2020050507","","0","OR","HU99967","2016","7","2"
"2020052084","","0","IN","P451567","2021","7","2"
"2020015605","","0","MD","081513X","2020","7","1"
"2020028450","","0","ME","2944821","2015","7","1"
"2020016407","","0","MI","D175489","2020","7","2"
"2020037328","","0","IL","T481130","9999","7","2"
"2020039828","","0","FL","9177CJ","2012","7","1"
"2020067666","","0","IL","712481ST","2022","7","2"
"2020091254","","0","PA","PT230C7","2020","7","2"
"2020104796","","0","PA","PT238J4","1999","7","2"
"2020076753","","0","PA","PT258113","2021","7","2"
"2020024410","","0","PA","XKE2189","2020","7","2"
"2020028432","","0","PA","PT256H5","2020","3","1"
"2020061135","","0","ZZ","99999999999","9999","7","1"
"2020032321","","0","SC","P764821","2020","7","1"
"2020052213","","0","ZZ","999999999999","9999","7","2"
"2020031445","","0","PA","XKL9068","2018","3","4"
"2020038930","","0","ID","TN2192","2020","7","1"
"2020059855","","0","PA","XLG2175","2020","3","2"
"2020013767","","0","PA","PT65762","2019","7","2"
"2020058077","","0","PA","PT0576T","2012","7","2"
"2020023646","","0","ME","245798E","2021","7","1"
"2020025493","","0","TN","U785539","2020","7","2"
"2020047383","","0","TN","U541597","2022","7","2"
"2020050079","","0","NJ","TNH41B","2020","7","1"
"2020055592","","0","IL","T523853","2018","7","1"
"2020076740","","0","IN","P736358","2020","7","1"
"2020019709","","0","VA","970376TL","2020","7","2"
"2020027385","","0","ZZ","999999999999","9999","7","2"
"2020078619","","0","TN","U742108","2018","7","3"
"2020018894","","0","ZZ","9999999999","9999","7","2"
"2020037537","","0","IL","695658ST","2020","7","1"
"2020112977","","0","IL","T489097","2013","7","2"
"2020051730","","0","ZZ","999999999999","9999","7","3"
"2020076228","","0","NC","AH12838","2020","7","2"
"2020113051","","0","PA","PT494G3","2021","7","2"
"2020024125","","0","IL","625669ST","2019","7","2"
"2020059206","","0","PA","PT460B7","2021","7","1"
"2020103832","","0","PA","PT172E7","2021","7","2"
"2021008153","","0","PA","XCG7493","2020","8","2"
"2020017414","","0","PA","JXB7477","2020","1","2"
