"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2022004218","","09","N","9","1","","1","99","N","CHRY","2000","","","","","","","","99","99999999999","2","","3","00","N","N","025","","","1","01","99","17","01","ZZ","1","01",""
"2022024166","","04","N","1","2","","1","11","U","BUIC","2011","","","","","","","","","W04GS5EC7B1","0","","1","00","N","E","000","","","2","02","05","06","09","PA","2","01","P4D"
"2022014859","","04","N","3","1","","1","12","U","NISS","2014","","","","","","","","01","1N4AL3AP6EC","1","","1","00","Y","S","010","","","1","01","05","01","01","PA","1","01","P4D"
"2022043944","","","","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","1","30","","99","99","","2","31",""
"2022062131","","40","N","2","1","","1","03","Y","TOYT","2017","","","","","","","","01","5TDXZ3DC7HS","3","","1","46","N","N","055","","","2","01","03","01","06","PA","2","07","TSV"
"2022023734","","04","N","3","1","","1","03","Y","TOYT","2011","","","","","","","","02","4T4BF3EK8BR","1","","1","00","Y","W","030","","","1","01","02","01","01","PA","1","01","P4D"
"2022045324","","04","N","9","2","","1","05","Y","TOYT","2015","","","","","","","","","2T1BURHE3FC","0","","1","00","N","","000","","","4","02","07","06","13","PA","2","01","P4D"
"2022040203","","04","N","2","1","","1","06","Y","TOYT","2003","","","","","","","","02","2T1BR32E33C","1","","1","00","N","S","010","","","2","01","08","01","03","PA","2","01","P4D"
"2022060370","","69","N","1","2","","1","07","U","KIA","2020","","","","","","","","","KNDJ63AU4L7","0","","1","00","N","","000","","","2","02","05","06","01","FL","2","06","T"
"2022064074","","28","N","3","1","","1","99","U","SUZI","1997","","","","","","","","01","JS1GN78A0V2","1","","1","41","Y","E","999","","","1","01","04","01","01","PA","1","02","MRC"
"2022014634","","69","N","3","3","","1","11","U","TOYT","2020","","","","","","","","99","2T3G1RFV8LW","1","","1","00","Y","S","050","","","1","01","02","10","02","PA","1","06","T"
"2022014558","","69","N","1","2","","1","05","Y","FORD","2018","","","","","","","","","1FTEW1EG2JF","0","","1","00","N","","000","","","2","02","05","06","13","PA","2","04","T"
"2022060130","","04","N","2","2","","1","07","Y","HOND","2012","","","","","","","","","19XFB2F55CE","0","","1","00","Y","N","000","","","2","02","05","06","11","PA","2","01","P4D"
"2022037592","","69","Y","1","1","","1","11","Y","FRHT","2020","","","","","","","","98","4UZABRFC5LC","4","","1","11","N","W","999","","","2","01","06","01","01","PA","2","03","T"
"2022040210","","09","N","2","1","","1","06","Y","TOYT","2019","","","","","","","","01","3MYDLBYV3KY","1","","1","00","N","S","000","","","2","01","02","03","03","PA","3","01","P"
"2022044010","","69","N","3","1","","1","99","Y","FORD","2018","","","","","","","","03","1FMCU9HD7JU","1","","1","00","Y","S","045","","","2","01","02","01","01","PA","2","06","T"
"2022044003","","15","N","9","1","","1","09","Y","HYUN","2016","","","","","","","","01","KM8J3CA29GU","1","","1","00","N","E","025","","","2","01","12","01","13","PA","2","06","T4W"
"2022024367","","69","N","3","3","","1","01","U","JEEP","2021","","","","","","","","02","1C6HJTAG6ML","1","","1","00","Y","S","999","","","1","01","05","01","13","PA","1","06","T"
"2022060118","","","N","9","1","","9","99","U","NISS","","","","","","","","","99","","1","","1","00","N","N","030","","","2","01","05","01","99","ZZ","2","99",""
"2022004261","","","N","9","4","","1","12","N","OTHR","","","","","","","","","99","","0","","1","00","N","S","020","0","","1","05","99","12","14","","1","99",""
"2022021628","","02","N","3","1","","1","12","Y","HYUN","2013","","","","","","","","01","KMHDH6AE7DU","1","","1","00","Y","N","050","","","1","01","07","01","03","PA","1","01","PCP"
"2022025638","","15","N","2","1","","1","01","Y","CHEV","2017","","","","","","","","01","1GNKVGKD7HJ","1","","1","00","Y","W","025","","","1","01","05","01","01","PA","1","06","T4W"
"2022046579","","04","N","0","1","","1","12","Y","HOND","2017","","","","","","","","01","JHMCR6F58HC","1","","1","00","N","N","999","","","1","01","01","01","02","PA","1","01","P4D"
"2022022739","","04","N","3","1","","1","12","Y","NISS","2011","","","","","","","","02","1N4AL2AP3BN","1","","1","00","Y","N","020","","","1","01","12","01","13","PA","1","01","P4D"
"2022044045","","09","N","9","4","","1","99","U","UNKN","","","","","","","","","","","1","","1","00","N","N","002","","","2","05","99","01","01","ZZ","1","01",""
"2022055570","","15","N","2","1","","1","10","Y","JEEP","2004","","","","","","","","98","1J4GL48K04W","1","","1","00","N","S","030","","","2","01","04","01","03","PA","2","06","T4W"
"2022021930","","04","N","3","1","","1","11","Y","KIA","2014","","","","","","","","01","5XXGM4A75EG","2","","1","00","Y","N","035","","","2","01","05","01","01","PA","2","01","P4D"
"2022053206","","04","N","2","1","","1","12","U","TOYT","1994","","","","","","","","98","JT2SK12E0R0","2","","1","00","N","W","025","","","1","01","04","01","01","PA","1","01","P4D"
"2022081199","","15","N","2","1","","1","13","Y","CADI","2017","","","","","","","","01","1GYKNBRS4HZ","1","","1","00","N","W","999","","","1","01","05","01","06","PA","1","06","T4W"
"2022032700","","69","N","1","1","","1","12","Y","CHEV","2020","","","","","","","","01","3GNKBHR40LS","3","","1","00","N","W","040","","","4","01","05","01","06","OH","3","06","T"
