"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
2020039193," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020059289," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020060355," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020066879," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020068242,"U","U","U","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2020080306," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020083725,"U","U","U","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2020014345," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020039462,"N","N","Y","Y","1","U","Y","Y","N","00600","N"," "," "," "," "," "," "," ","N",1
2020069461,"U","U","U","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2020072487," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020085043,"N","N","N","N","0","N","N","N","N","99999","N"," "," "," "," "," "," "," ","N",3
2020091764,"N","U","N","N","0","N","N","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2020094823,"N","N","U","U","0","N","N","Y","Y","99999","N"," "," "," "," "," "," "," ","N",2
2020017365," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020033706,"N","N","Y","Y","1","Y","Y","Y","Y","00600","N"," "," "," "," "," "," "," ","N",1
2020053406,"Y","Y","Y","Y","1","N","Y","Y","Y","99999","N"," "," "," "," "," "," "," ","N",1
2020059018," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2020069950,"N","Y","Y","Y","1","U","Y","Y","Y","00650","N"," "," "," "," "," "," "," ","N",2
2020086809," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
