"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2022086786","9999999999","1","ZZ","999999999999","2022","7","1"
"2022099795","1E1U2X282G","1","PA","PT892M8","2023","7","2"
"2022090257","1UYVS2426F","1","IN","TMK51T","2015","7","1"
"2022073249","1UYVS2537K","1","IL","679083ST","2022","7","1"
"2022107023","SE0AU1748J","1","PA","PT023E0","2018","7","1"
"2022029306","3H3V532C1V","1","PA","PT2407Y","2023","7","2"
"2022055588","1JJV532D8M","1","NE","34061W","2020","7","2"
"2022065788","1UYVS25359","1","FL","QA50IJ","2009","7","1"
"2022102010","1TTF482A3A","1","AL","A100059","2009","7","2"
"2022023170","","0","ME","228969F","2022","7","2"
"2022079773","1DTV11Z25X","1","ID","TM1590","1999","7","3"
"2022004487","9999999999","1","IN","PA24846","2002","7","2"
"2022010781","9999999999","1","GA","TL6LL18","2009","7","1"
"2022108056","1UYVS2532E","1","TN","256389T","2023","7","1"
"2022056508","1J9BH40297","1","NJ","TDH79W","2022","7","2"
"2022030574","5HTAM44222","1","PA","PT9488Z","2022","7","2"
"2022010818","9999999999","1","IN","P927750","2022","6","2"
"2022075605","5JW1D1224G","1","PA","XKA6290","2016","3","2"
"2022020271","LJRC542616","1","TN","U913103","2022","7","2"
"2022072209","0000000000","1","FL","0000000","2019","7","2"
"2022089067","14HU08101N","1","AR","PT226268","2022","3","2"
"2022019282","9999999999","1","PA","ZZ","2022","7","2"
"2022018074","","0","NJ","TYT10R","2026","3","1"
"2022008879","9999999999","1","ID","CCE542","2014","3","1"
"2022048407","1PMS24520H","1","NJ","TVW24A","2023","7","1"
"2022039501","1GRAA0624F","1","TN","U566622","2022","7","2"
"2022018544","","0","NJ","TUN50W","2022","7","2"
"2022123848","1UYVS2535L","1","IL","1523ST","2021","7","2"
"2022021304","1FDUF5GT2K","1","PA","ZLA8388","2019","2","1"
"2022086686","9999999999","1","ZZ","999999999999","9999","8","2"
"2022036991","2TLSL4225H","1","NJ","TSK86R","2022","7","1"
"2022074187","3H3V532K8P","1","TN","244920T","2023","7","3"
"2022101524","1RNF48A20P","1","PA","XMJ1865","","7","2"
"2022097371","1T0HB4223C","1","PA","PT590P1","2022","7","2"
"2022016534","9999999999","1","KS","506197","2022","7","1"
"2022043678","1GRAA06287","1","TN","U725451","2022","6","1"
"2022072816","LJRC2826XG","1","TN","U656221","2016","7","1"
"2022056984","1UYVS2533D","1","ON","V10342","2017","7","1"
"2023000615","13N2532CXP","1","ME","3133111","2024","7","1"
"2022029225","5V8VC5329H","1","IL","596519","2022","7","1"
"2022004539","9999999999","1","OK","8948LN","2017","7","2"
"2022118594","1UYVS2538G","1","OK","6143LB","2024","7","1"
"2022047238","7FYBE1014H","1","PA","XKT5616","2019","3","3"
"2022071653","13N248200J","1","ME","2923975","2023","6","3"
"2022019565","3H3V452C7J","1","ME","2925320","2022","7","2"
"2022071660","5MAPA482XC","1","IN","SP918CVT","2018","7","1"
"2022117759","1GRAA6422H","1","PA","PT526C5","2023","7","1"
"2022003232","9999999999","1","IN","P771322","2018","6","1"
"2022069894","1UYVS2531G","1","ON","N8255C","2022","7","2"
"2022104386","9999999999","1","ZZ","999999999999","9999","7","1"
"2022068585","9999999999","1","ZF","UNKNOWN","9999","7","1"
"2022108992","1GRAA0620C","1","PA","PT3839T","2022","7","1"
"2022061819","5JLSP422XV","1","IL","T540870","2022","7","2"
"2023011484","14HU122017","1","TX","A026702","2023","3","2"
"2022023698","1GRAA0621G","1","FL","2760CQ","2016","7","2"
"2022097390","1UYVS2538K","1","PA","PT774F5","2019","6","3"
"2022044908","5F11S1016K","1","PA","999999999999","2099","3","2"
"2022120908","1E1H5Y289N","1","ME","268669C","2023","7","1"
"2022043874","5MATA4222L","1","PA","PT8517E","2023","7","2"
"2022119072","9999999999","1","ZZ","999999999999","9999","7","1"
"2022124969","13N1532C9K","1","MX","2391235","2023","7","2"
"2022097374","1PTO1ANH4W","1","PA","PT6128X","2022","7","1"
"2022077690","3H3V532CXG","1","TN","U636214","2016","7","1"
"2022105125","1JJV532D6A","1","IL","718154ST","2022","7","2"
"2022124081","3HSDZAPR9J","1","IL","T553786","2015","7","2"
"2022038557","1GRAA0628H","1","ME","2674487","2026","7","4"
"2022117629","3H3V281C5F","1","IN","P438243","2015","7","1"
"2022090313","2M5131610M","1","PA","PT994K6","2021","7","1"
"2022069298","43YDC10294","1","PA","XHE5498","2022","6","2"
"2022109031","9999999999","1","ZZ","999999999999","2022","3","1"
"2022056859","50ZBE2429M","1","PA","XMR9620","2022","6","2"
"2022063141","3H3V452CXJ","1","ME","2925475","2029","7","1"
"2022115932","WL20210690","1","NJ","TTT32D","2013","7","1"
"2022014544","3H3V532CXJ","1","ME","282158X","2028","7","2"
"2022123005","1JJV532D0L","1","IN","P801851","2020","7","3"
"2022014871","","0","DE","XF775376","2021","1","2"
"2022091616","1MDXE8N131","1","PA","XKV2734","2023","6","1"
"2022112270","1PMA244294","1","NJ","TPG62Y","2004","7","2"
"2022039748","UNKNOWN","1","ZZ","UNKNOWN","2022","7","2"
"2022084445","1JJV281E77","1","TN","T978734","2023","7","2"
"2022084445","1JJV281D4L","2","IN","P851285","2023","7","2"
"2022073685","5JLSP4422G","1","IL","T543368","2016","7","1"
"2022108283","UNKNOWN","1","ID","CCM872","2022","3","2"
"2022044057","5HTAM4329H","1","PA","PT2190J","2023","7","2"
"2022063122","5HTAB442X5","1","ME","249660A","2022","7","1"
"2022063041","1UYVS2530N","1","IN","PB13349","2022","7","1"
"2022061975","1E1Z1Y2806","1","PA","PT990F7","2022","7","1"
"2022040693","1JJV532D7G","1","OK","5779KT","2022","7","2"
"2022083556","9999999999","1","ZZ","999999999999","9999","6","1"
"2022041397","1VVSV53296","1","NJ","TVC19J","2023","7","1"
"2023003431","TR66842PA","1","PA","PT9853L","2023","7","2"
"2022014758","","0","NJ","TPG19Y","2023","7","1"
"2022071060","3AKJHHDR5K","1","ME","31TLR49834","2023","7","2"
"2022086494","9999999999","1","ZZ","UNKNOWN","2022","6","2"
"2022115840","1UYVS2537K","1","PA","XKS3528","2022","7","3"
"2022068569","2FZHAZAS42","1","PA","99999999999","2099","8","1"
"2022063142","1GR1P0624L","1","TN","014792T","2020","7","2"
"2022108703","1P9SR5129N","1","VA","193500TM","2022","7","1"
"2022084240","1LH930UH0F","1","TN","4619714","2022","7","2"
"2022102330","1A95A4126E","1","PA","XJF3060","2023","3","1"
"2022062310","1NL1G222XM","1","OH","SZP2344","2023","5","3"
"2022024243","1JJV482D0L","1","IN","P945816","2023","7","2"
"2022072613","1FMCU03141","1","NJ","A77KVY","2001","1","1"
"2022105070","1UYFS2483E","1","PA","PT0406X","2014","7","2"
"2022043989","9999999999","1","WV","918859TR","2022","7","2"
"2022057984","10002TL312","1","PA","999999999999","2022","8","2"
"2022071653","1UYVS253XM","1","OH","TRL5371","2023","6","2"
"2022062310","1UJBJ0BR9L","1","OH","SYQ9117","2023","5","1"
"2022068212","0000000000","1","PA","N/A","2022","6","2"
"2022013508","","0","ME","275649B","2022","7","2"
"2022118703","1JJV532D6K","1","TN","U840289","2019","7","2"
"2022010138","1JJV532W38","1","NJ","TYK73E","2008","6","1"
"2022004284","9999999999","1","DE","T62116","2019","3","1"
"2022075847","5NHUCC4146","1","PA","XDL7586","2006","6","1"
"2022111338","1KKVA45204","1","IN","P52771","2004","7","2"
"2022068746","541GC3623N","1","NY","227617","2022","3","2"
"2022112934","5HTAM44235","1","PA","PT019A1","2023","7","2"
"2022072205","1UYVS2536D","1","MO","98E6XJ","2022","7","1"
"2022069157","UNK","1","GA","TV05D84","2022","7","1"
"2022075996","5MAPA5326G","1","PA","PT143A3","2022","7","3"
"2022061997","3H3V382K4P","1","ZG","2738256","2022","7","3"
"2022101107","9999999999","1","ZZ","999999999999","9999","6","2"
"2022107445","1UYVS2538K","1","NE","264562","2022","7","2"
"2023000067","1Z9M1AA20G","1","ME","2829273","2028","7","3"
"2022016636","5V8VA5328M","1","IN","P905618","2022","7","1"
"2022079161","V501405","1","FL","LSN5865","2013","7","2"
"2022109113","1UYVS2534E","1","PE","7TR37","2023","7","2"
"2022118731","5EF3GC4026","1","NJ","TVV38V","2023","7","2"
"2022019433","","0","VA","522413TL","2022","7","1"
"2022044089","4A91E1017M","1","PA","XNE2019","2021","7","2"
"2022040780","1JJV532W36","1","NJ","TMZ32E","2006","7","2"
"2022014562","","0","TX","A038311","2022","3","2"
"2022055621","5V8VA53207","1","FL","QAO9HS","2030","7","1"
"2022044907","1VYVS2534H","1","ME","2358338","2017","7","1"
"2022047167","1DW1A5327N","1","PA","PT771L6","2023","7","1"
"2022060079","4KNUT2024Y","1","PA","XMC4696","2021","3","1"
"2022068258","1S12E9535H","1","ME","2950026","2029","7","3"
"2022039715","145C41256H","1","ME","242596B","2024","7","1"
"2022109113","5MADN3820N","1","PA","PT622M3","999","7","1"
"2022032765","3AKJGLDRXG","1","VA","844343Z","2016","7","2"
"2022072200","5E0AA1446E","1","IL","500536ST","2000","7","2"
"2022091235","TC11861","1","DE","T96299","2022","7","1"
"2022064489","1DW1A532XG","1","ME","3227804","2023","7","1"
"2022044055","9999999999","1","ME","3318552","2022","7","3"
"2022048197","9999999999","1","MT","TF4623","2022","7","2"
"2022023183","","0","PA","XW87972","2022","7","2"
"2022089256","57J4533C0P","1","PA","PT882L9","2023","7","1"
"2022104966","UNKNOWN","1","PA","UNKNOWN","2000","9","1"
"2023000067","1JJV532D5L","1","NE","33574W","2023","7","2"
"2023000618","1J9AH422`8","1","PA","PT-1731M","2022","6","2"
"2022044906","1E1H5Z287G","1","WI","713473","2022","7","1"
"2022113594","1TKHA48254","1","PA","PT836P3","2004","7","1"
"2022032220","9999999999","1","ZZ","999999999999","9999","3","2"
"2022066153","1234567890","1","ME","26TLR299E","2016","7","1"
"2022026973","9999999999","1","","","","9","1"
"2022081594","5HTSA4420K","1","NJ","TUV94T","2023","7","1"
"2022055568","1JJV532W49","1","PA","XML7208","2023","7","1"
"2022044721","16V3F4829N","1","IL","87299ST","2022","7","1"
"2022017940","1UYVS25393","1","MO","55L2AV","2022","7","1"
"2022019672","5MASA4823F","1","NY","BF11313","2022","7","2"
