"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020083342","3","4","1","939","67","W","4","2","0030","0061","30","GIRARD AV"
"2020029300","1","3","3","2471","67","N","3","1","0095","0170","55","DELAWARE EX"
"2020019020","","5","02","","67","E","4","4","","","20","WOOD ST"
"2020071784","","4","01","","67","N","3","4","","","","33RD ST"
"2020086700","","3","02","","67","S","4","4","","","25","STENTON AV"
"2020105322","3","3","2","2486","67","N","3","2","4007","0040","25","WAYNE AV"
"2020013645","","10","02","","67","W","10","4","","","30","THIRTIETH ST"
"2020085160","3","3","2","1150","67","E","3","2","3012","0010","35","LANCASTER AV"
"2021005425","1","3","2","752","67","S","3","2","8019","0250","20","RAMP D RD"
"2020018262","3","4","2","112","67","W","4","2","0532","0010","35","WELSH RD"
"2020055838","3","3","4","0","67","N","3","2","0611","0070","30","BROAD ST"
"2020055878","3","3","4","2612","67","N","4","2","3007","0040","30","BENJAMIN FRANKLIN PY"
"2020071353","","5","01","","67","E","5","4","","","","PINE ST"
"2020008270","","3","02","","67","S","4","4","","","30","OGONTZ AV"
"2020017816","","4","02","","67","N","4","4","","","35","RED LION RD"
"2020093919","3","6","3","0","67","S","6","2","1011","0091","30","WELSH RD"
"2020034508","","4","02","","67","S","4","4","","","25","11TH ST"
"2020047191","1","3","2","6323","67","E","3","1","0076","3444","50","SCHUYLKILL EX"
"2020065779","3","4","2","2397","67","S","4","2","1003","0031","35","WHITAKER AV"
"2020011101","","4","02","","67","W","4","4","","","20","WYNEVA ST"
"2020019869","","5","02","","67","W","5","4","","","25","KNORR ST"
"2020014798","","3","02","","67","S","4","4","","","25","56TH ST"
"2020038926","1","3","3","997","67","S","3","1","0095","0211","55","DELAWARE EX"
"2020102216","","5","99","","67","N","5","4","","","","CRISPIN ST"
"2020026260","","4","99","","67","W","4","4","","","20","BINGHAM ST"
"2020103602","","4","02","","67","E","3","4","","","30","JEFFERSON ST"
"2020058205","","3","01","","67","N","4","4","","","25","5TH ST"
"2020034817","","3","02","","67","S","4","4","","","20","2ND ST"
"2020034364","1","3","3","929","67","E","3","1","0076","3420","50","SCHUYLKILL EX"
"2020089230","1","3","2","2606","67","N","3","2","0001","0130","50","ROOSEVELT BOULEVARD EX"
"2020096779","3","4","2","0","67","S","4","2","0013","0171","30","HUNTING PARK AV"
"2020064537","","3","01","","67","E","4","4","","","20","CONLYN ST"
"2020045204","3","3","2","18","67","B","3","2","1005","0030","30","CASTOR AV"
"2020083337","3","3","2","2376","67","W","3","2","3005","0090","25","LANCASTER AV"
"2020079570","","3","01","","67","N","3","4","","","20","TACKAWANNA ST"
"2020087636","","3","03","","67","W","3","4","","","45","BEN FRANNKLIN BR"
"2020020021","","5","02","","67","W","5","4","","","25","SPRUCE ST"
"2020104024","","3","01","","67","S","3","4","","","20","S 3RD ST"
"2020093641","","3","02","","67","E","4","4","","","25","SEDGLEY AV"
"2020010063","","3","01","","67","N","4","4","","","20","MARVINE ST"
"2020083451","3","4","2","737","67","W","4","2","2001","0031","30","OREGON AV"
"2020047708","3","4","2","1258","67","W","4","2","1002","0081","35","ADAMS AV"
"2021007099","1","3","3","256","67","N","3","1","0095","0214","55","DELAWARE EX"
"2020066714","3","4","4","2246","67","S","4","2","0611","0141","30","BROAD ST"
"2020092967","","4","1","","67","E","4","4","","","25","ABBOTTSFORD AV"
"2020017360","","5","01","","67","E","5","4","","","25","BROWN ST"
"2020070777","","4","01","","67","N","4","4","","","","TWENTIETH ST"
"2021009544","3","3","2","3205","67","E","3","2","1003","0010","25","B ST"
"2020030539","3","3","3","0","67","S","3","2","6001","0201","40","ROOSEVELT BL"
