"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2021010909","","04","N","9","1","","9","99","Y","CHEV","2015","","","","","","","","99","2G1125S39F9","1","","1","99","Y","N","020","0","","1","01","12","01","99","PA","1","01","P4D"
"2021012666","","15","N","3","1","","1","12","N","NISS","2016","","","","","","","","01","5N1AT2MV0GC","1","","3","00","Y","E","060","","","1","01","05","17","03","PA","1","06","T4W"
"2021035901","","04","N","3","1","","1","01","U","TOYT","2005","","","","","","","","02","4T1BK36BX5U","2","","1","00","Y","N","035","0","","1","01","05","01","01","DE","1","01","P4D"
"2021000537","","04","N","2","1","","1","01","U","CHEV","2014","","","","","","","","02","1G1PG5SB2E7","1","","1","00","N","E","010","","","2","01","02","01","01","PA","2","01","P4D"
"2021069390","","15","N","2","1","","1","07","Y","CADI","2016","","","","","","","","01","3GYFNEE3XGS","1","","1","00","N","N","025","","","2","01","05","01","03","PA","2","06","T4W"
"2021018921","","04","N","3","1","","1","11","Y","HYUN","2007","","","","","","","","01","5NPEU46F47H","1","","1","00","Y","W","035","","","2","01","12","04","01","PA","2","01","P4D"
"2021030483","","04","N","3","1","","1","12","Y","DODG","2012","","","","","","","","02","1C3CDZAB7CN","1","","1","00","Y","N","025","0","","1","01","07","04","01","PA","1","01","P4D"
"2021031765","","69","N","9","4","","1","12","N","UNKN","","","","","","","","","99","","1","","1","00","N","W","035","","","1","05","02","01","13","PA","1","04",""
"2021072553","","02","N","3","4","","3","11","N","HOND","1996","","","","","","","","99","1HGCD7235TA","1","","3","00","Y","N","075","","","1","05","04","17","03","PA","1","01","PCP"
"2021031020","","04","N","3","1","","1","12","Y","LEXS","2015","","","","","","","","01","JTHCE1BL7FA","1","","1","00","Y","N","035","","","2","01","03","12","04","PA","2","01","P4D"
"2021006911","","04","N","2","1","","1","04","Y","FORD","2008","","","","","","","","01","2FAFP71V78X","1","","1","00","N","E","025","0","","2","01","05","01","14","PA","2","01","P4D"
"2021037295","","09","N","3","1","","1","07","Y","DODG","2021","","","","","","","","01","2C3CDXGJ8MH","1","","1","00","Y","W","000","0","","2","01","12","03","03","PA","2","01","P"
"2021006027","","15","N","3","1","","1","06","Y","TOYT","2013","","","","","","","","01","4T3BK3BB7DU","1","","1","00","Y","N","030","","","1","01","05","01","13","PA","1","06","T4W"
