"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2019131464","","0","ME","301668","2023","7","1"
"2019089960","","0","PA","PT526B8","2099","7","2"
"2019006003","","0","ZZ","9999999999","9999","7","2"
"2019090732","","0","IN","396053","2019","6","2"
"2019017653","","0","TN","U794300","2020","7","2"
"2019035570","","0","IN","P770024","2020","7","2"
"2019049373","","0","","","","6","2"
"2019065679","","0","ON","M9478V","2020","7","2"
"2019133900","","0","ZZ","999999999999","9999","7","1"
"2019055339","","0","ZZ","9999999999","9999","7","2"
"2019060674","","0","IL","642263ST","2019","7","1"
"2019032433","","0","ZZ","999999999999","9999","7","1"
"2019082837","","0","NJ","TTT79D","2019","6","2"
"2019084176","","0","PA","XS35997","2020","3","4"
"2020011894","","0","NJ","T23L3T","2019","7","2"
"2019069618","","0","IL","565440ST","2016","7","1"
"2019045382","","0","PA","PT106F1","2018","7","2"
"2019074913","","0","","","","2","2"
"2019075350","","0","TN","T898647","2019","6","2"
"2019038648","","0","ZZ","999999999999","9999","7","3"
"2019049311","","0","ZZ","999999999999","9999","7","1"
"2019050848","","0","","","","1","2"
"2019080229","","0","","","","2","1"
"2019109247","","0","NE","13295W","2015","7","1"
"2019036591","","0","ZZ","999999999999","9999","7","2"
"2019121374","","0","TX","Y48933","2020","7","1"
"2019027210","","0","IN","P392648","2019","7","2"
"2019038099","","0","IN","P590558","2019","7","3"
"2019018512","","0","","","","8","1"
"2019038239","","0","ZZ","999999999999","9999","7","2"
"2019071312","","0","PA","KTJ6652","2019","8","2"
"2019095911","","0","ZZ","999999999999","9999","7","1"
"2020033345","","0","PA","XLH4807","2014","3","1"
"2019056802","","0","QC","RH4912H","2019","7","2"
"2019074119","","0","ZG","8738927","2019","7","1"
"2019088504","","0","","","","3","2"
"2019128076","","0","CA","4LJ6803","2020","7","1"
"2019103321","","0","ME","2651137","2022","7","1"
"2019050868","","0","ZZ","999999999999","9999","7","1"
"2019112364","","0","OK","3942LR","2020","7","2"
"2019079054","","0","","","","8","1"
"2019116362","","0","TN","U037040","2099","7","1"
"2019070066","","0","PA","XGC2093","2019","8","2"
"2019024575","","0","ME","3615321","2019","6","1"
"2019036543","","0","PA","PT9629K","2019","7","1"
"2019008796","","0","PA","XLB1268","2019","7","1"
"2019135182","","0","IN","P921127","2020","7","2"
"2020007575","","0","NJ","TKE84S","2019","7","1"
"2019060951","","0","ZZ","999999999999","9999","7","1"
"2019074462","","0","ME","5CT7242","2024","1","2"
"2019105738","","0","OK","1408KP","2017","7","3"
"2019121284","","0","PA","PT4151Z","2017","7","1"
"2019121397","","0","ZZ","999999999999","9999","7","1"
"2019121451","","0","PA","PT1850V","2020","6","2"
"2019047700","","0","","","","1","3"
"2019067415","","0","ME","2365256","2016","7","2"
"2019088832","","0","NJ","29LT","2019","7","5"
"2019053574","","0","ME","3020569","2030","7","1"
"2019074690","","0","PA","PT0877X","2020","7","1"
"2019133008","","0","ZZ","999999999999","9999","7","1"
"2019133188","","0","VA","613016TL","2099","7","1"
"2019054905","","0","ZZ","999999999999","9999","7","1"
"2023115268","1234567891","1","ME","223051E","2011","7","1"
"2019021020","","0","ME","2148306","2019","7","3"
"2019031930","","0","OK","5793GL","2019","6","1"
"2019049374","","0","","","","8","1"
"2019088051","","0","PA","XJX9223","2012","8","2"
"2019098748","","0","MO","4928PE","2019","7","2"
"2019107419","","0","ME","22TLR1807A","2022","7","1"
"2020001352","","0","PA","XDS1693","2020","7","2"
"2019021560","","0","ZZ","9999999999","9999","7","2"
"2019094350","","0","PA","PT9635K","2019","7","2"
"2019101501","","0","PA","PT8988X","2015","7","3"
"2019121434","","0","ZZ","999999999999","9999","7","1"
"2019070113","","0","ME","2565609","2020","7","1"
"2019084499","","0","NE","10353W","2006","7","2"
"2019060962","","0","IL","600097ST","2020","6","1"
"2019038296","","0","ME","3311784","2019","7","1"
"2019067814","","0","ME","203181D","2000","7","3"
"2019111645","","0","PA","PT241H4","2019","7","1"
"2019028358","","0","OK","3809KP","2020","7","1"
"2019053208","","0","ME","2385973","2023","7","1"
"2019121337","","0","ZZ","999999999999","2019","7","1"
"2019029414","","0","","","","9","1"
"2019062170","","0","NJ","TRS42S","2017","7","1"
"2019063552","","0","IN","P762263","2019","7","2"
"2019029393","","0","","","","9","1"
"2019110077","","0","MO","46A656","2020","7","4"
"2019008992","","0","IL","662379ST","2003","7","2"
"2019014326","","0","TN","U488304","2019","7","1"
"2019074429","","0","NC","AY11871","2002","7","1"
"2019099010","","0","NJ","TTM57G","2019","7","2"
"2019074913","","0","","","","2","1"
"2019111183","","0","ME","217864D","2021","7","1"
"2020001199","","0","PA","KLV7709","2020","7","2"
"2019063054","","0","ME","222118","2019","7","1"
"2019078039","","0","","","","2","1"
"2019085786","","1","OA","PT31627","2020","7","3"
"2019085461","","0","NJ","TKX83E","2020","6","1"
"2019077484","","0","NJ","TAZ56S","2019","7","2"
"2019055726","","0","PA","PT7305Z","2016","6","1"
"2019115102","","0","PA","XKZ7532","2019","3","2"
