"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2023042070","5MADN3620M","1","PA","PT447G3","2023","7","2"
"2023051427","112TAF145L","1","PA","999999999999","1990","8","2"
"2023083068","9999999999","1","ZZ","999999999999","9999","6","2"
"2023117701","9999999999","1","ZZ","999999999999","9999","7","2"
"2023042388","5NHUEH624M","1","PA","XMK4642","2021","6","2"
"2023076690","5V8VC5328J","1","PA","PT049E2","2023","7","1"
"2023016740","5FTCF3825K","1","PA","PT161F0","2023","7","2"
"2023105455","1JJV532D1G","1","TN","U563836","2023","7","1"
"2023001519","LT1CC41225","1","ME","277422A","2023","7","1"
"2023040111","LT1CC41285","1","ME","2528492","2023","7","1"
"2023070065","48RTPGASEW","1","CT","BL15899","2023","7","1"
"2023019693","1GRAA56177","1","IN","P115496","2023","7","2"
"2023053822","1W15532A6L","1","PA","25-1100A","2020","7","2"
"2023102033","1GRAA721X6","1","NJ","TTN45U","2026","7","1"
"2023093569","9999999999","1","IN","P111668","2023","7","3"
"2023093261","3H3V532C1L","1","ID","TM5680","2020","7","2"
"2023055060","1234567890","1","ME","278527E","2000","7","3"
"2023066490","3738156","1","ZZ","999999999999","2024","7","2"
"2023067516","9999999999","1","TN","U646493","2099","7","2"
"2023091373","1GR1A0626R","1","IN","PD10275","2024","7","1"
"2023075657","1S12E9533H","1","ME","2933836","2017","7","2"
"2023059479","1UYVS2534L","1","IN","PB46919","2020","6","2"
"2023027652","10BAB62W32","1","ME","2676293","2026","7","2"
"2023071081","5JW1U2020P","1","PA","XPH5819","2023","3","2"
"2023077923","3H3V532C0J","1","ME","2460325","2024","7","2"
"2023115272","1GRAA0629H","1","OR","HV13329","2025","7","2"
"2023103398","1S12E9457M","1","NJ","TXN37R","2024","7","2"
"2023102417","57T1F1827G","1","PA","XMM6291","2016","3","2"
"2023103397","1JJV532DXB","1","PA","PT347H0","2023","7","1"
"2023088458","1T9LS4811L","1","ME","5232607","2025","6","1"
"2023077272","1234567891","1","NJ","TSK61B","2023","7","2"
"2023081119","3H3V532K6R","1","IN","PC51766","2023","7","1"
"2023094176","3H3V532C8K","1","OR","HV33541","2019","7","1"
"2023106658","7SPCC4023P","1","TN","325535T","2024","7","2"
"2023067080","1JJV532W7W","1","ME","5112248","2024","7","1"
"2023012235","1DW4C5320D","1","TN","U354946","2023","6","3"
"2023050859","1RZ19F2CXF","1","MO","28A486","2015","7","2"
"2023116793","1GRDM0625G","1","OK","3633LR","2025","7","1"
"2024004736","5V8VA5322N","1","ME","3333524","2022","7","2"
"2023104858","1DW1A5320M","1","IL","779548ST","2024","7","2"
"2023095780","512DU19T8M","1","NJ","TYK35J","2024","3","1"
"2023110285","10BEA92358","1","PA","PT7038L","2021","7","2"
"2023024160","1JJV532D3N","1","IN","P861831","2023","7","2"
"2023025160","1E1U2Y28XJ","1","PA","PT53530F0","2023","6","3"
"2023034963","5MAMN4823H","1","IL","600121ST","2023","7","1"
"2023002518","1UYVS2534G","1","QC","RM9215E","2016","7","2"
