"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2021065774","","0","NJ","AT314U","2002","7","3"
"2021070389","","0","IL","T498664","2023","7","2"
"2021073695","","0","NJ","TWL38C","2020","7","2"
"2021114309","1UYVS25329","1","WA","96750AB","2009","7","1"
"2021054410","","0","QC","RK6032M","2021","7","1"
"2021075798","","0","ME","30 35834","1999","8","1"
"2021037564","","0","OK","5848KQ","2021","7","1"
"2021109153","","0","IL","707658ST","2021","7","3"
"2021018430","","0","MI","D768633","2022","7","2"
"2022000561","","1","PA","PT005D3","2021","8","2"
"2021084725","","0","OH","TSC7302","2021","7","1"
"2022006108","0999999999","1","ZZ","099999999999","9999","7","1"
"2021064398","","0","OK","2162JX","2006","7","1"
"2021052414","","0","ME","2925110","2022","7","2"
"2021015536","","0","NJ","TKH44C","2024","7","2"
"2021023559","","0","MX","2650893","2023","7","1"
"2021065774","","0","TN","115065T","2021","7","2"
"2021039735","","0","IL","T523845","2022","7","2"
"2021102235","","1","NJ","TVF70M","2022","7","1"
"2021087502","","1","ZZ","UNKNOWN","2000","9","2"
"2021120661","","1","PA","MG7706F","2011","7","2"
"2021112685","1UYVS2532N","1","OH","TRU3471","2022","7","1"
"2021101777","","1","PA","PT699D2","2021","7","1"
"2021016533","","0","PA","PT464E2","2021","7","1"
"2021019520","","0","ME","3020370","2022","7","2"
"2021008285","","0","IL","683490ST","2019","7","2"
"2021081674","","0","IN","P348832","2021","7","1"
"2021074920","","0","PA","XLW2062","2022","7","2"
"2021062017","","0","TN","T777987","1994","7","1"
"2021048565","","0","PA","PT008A2","2022","7","2"
"2021101409","","1","IN","P590559","2021","7","2"
"2022003842","9999999999","1","OK","9182LH","2016","7","1"
"2021003566","","0","ME","259173C","2001","7","1"
"2021092177","","1","PA","XJF1734","2022","6","1"
"2021039382","","0","WV","C385-797","2021","7","2"
"2021103666","","0","LA","L948805","2022","7","2"
"2021021122","","0","NJ","TTU32X","2022","7","2"
"2021070548","","0","NJ","TNM68V","2007","7","2"
"2021014305","","0","ZZ","999999999999","9999","7","2"
"2021035728","","0","PA","PT3872X","2024","7","2"
"2021106638","","0","NJ","TJZ34J","2023","7","1"
"2021037264","","0","IL","T279641","2022","6","2"
"2021027749","","0","ME","B434159","2015","7","1"
"2021108105","","0","ME","244379E","2022","7","1"
"2021009091","","0","NJ","TWH95L","2005","7","1"
"2021101409","","1","PA","AG84920","2021","7","3"
"2021080861","","1","NJ","TVR12M","2007","3","1"
"2021041082","","1","NJ","TWX73B","2021","7","1"
"2021059189","","0","NC","AL23789","2020","3","1"
"2021058735","","0","PA","PT1076Z","2023","7","1"
"2021023915","","0","ZZ","999999999999","9999","7","2"
"2021079631","","0","PA","ZSX6628","2021","7","2"
"2021037256","","0","PA","PT177H4","9999","7","2"
"2021053771","","0","NJ","TJU40W","2023","7","1"
"2021028950","","0","PA","PT515F3","2021","6","2"
"2021034081","","0","PA","PT915K7","2021","6","2"
"2021064350","","0","ME","B270136","2022","7","2"
"2021087537","","0","PA","999","2013","7","2"
"2021100684","","0","SC","71247PT","2020","7","1"
"2021106705","","1","VT","ATM852","2022","7","2"
"2021093355","","1","TN","U624430","2022","7","1"
"2021067592","","0","OK","BD3372","2019","7","2"
"2021111502","","1","OH","J861466","2021","7","1"
"2021018183","","0","ME","3126976","2021","7","2"
"2021030543","","0","NJ","TNH41B","2022","7","2"
"2021088096","","0","PA","N/A","2021","7","2"
"2021023831","","0","NJ","TVR73K","2006","7","1"
"2021005435","","0","NY","BP64865","2021","7","2"
"2021101252","","0","ME","371008Z","2021","6","1"
"2021044728","","0","IL","623601","2021","7","3"
"2021008924","","0","GA","WCQ954","2021","7","2"
"2021106662","","0","MO","48K4CH","2012","7","2"
"2021044432","","0","ME","22TRL80318","2022","7","2"
"2021120420","","1","GA","XDY804","2020","7","1"
"2021002285","","0","IN","P227251","2021","7","2"
"2021120790","","1","","","","6","4"
"2021007298","","0","NJ","TMM44N","2014","6","2"
"2021101833","","1","ME","3015882","2008","7","1"
"2021102850","","0","ME","272414A","2022","7","1"
"2021022965","","0","TN","U627284","2021","7","2"
"2021105739","","1","TN","U507605","2022","7","2"
"2021083185","","0","PA","MG7884M","2014","3","1"
"2021016136","","0","OK","BJ6699","2018","7","2"
"2021119795","","0","TN","U242771","2024","7","1"
"2021008055","","0","PA","PT410C2","2021","7","1"
"2021074589","","0","TN","U865600","2099","6","2"
"2021097490","","1","PA","PT497B8","2021","7","2"
"2022001181","","1","PA","PT704F1","2006","6","1"
"2021050216","","0","ME","2849668","2028","7","1"
"2021035524","","0","PA","XM75744","2021","7","2"
"2021006744","","0","IN","P748013","2021","7","1"
"2021041063","","0","IL","600876ST","2023","7","2"
"2021063588","","0","NJ","T48G3P","2021","3","2"
"2021082423","","0","NJ","THP59X","2021","7","2"
"2021092899","","1","MX","25TLR4683G","2020","8","3"
"2021027804","","0","PA","PT8726Z","2016","7","1"
"2021119792","","1","IL","509956ST","2021","7","1"
"2021002279","","0","OK","BU8302","2021","7","1"
"2021076440","","0","PA","PT385F9","2022","7","2"
"2021015537","","0","NJ","TKH44C","2022","7","3"
"2021091479","","0","IN","P715169","2020","7","3"
"2021026826","","0","ME","261851B","2021","7","2"
"2021018270","","0","NJ","TNG19X","2021","7","1"
"2022005030","","0","NY","BR94922","2022","7","2"
"2021015919","","0","NC","AY32473","2021","7","1"
"2021046140","","0","PA","97293MG","2024","3","2"
"2021034391","","0","PA","XLT8835","2022","7","1"
"2021015808","","0","","","","9","1"
"2021115696","","1","PA","PT372M7","2022","7","1"
"2021004342","","0","SC","50563PT","2021","7","2"
"2021015537","","0","IL","620606ST","2022","7","1"
"2021092736","","0","NJ","TYD87Y","2022","7","2"
"2021008998","","0","ME","3821930","2022","6","2"
"2021105317","","1","PA","PT8896V","2023","7","2"
"2021026825","","0","ZZ","999999999999","2021","7","1"
"2021021180","","0","TX","176B538","2020","7","1"
"2021024512","","0","TN","U699860","2022","7","1"
"2021077889","","0","ME","2933741","2023","7","1"
"2021080137","","0","IL","699605","2014","7","1"
"2021062330","","0","CA","4TZ7972","2021","7","1"
"2021053625","","0","MS","137707A","2021","7","1"
"2021114758","","0","FL","QA67GL","2004","7","1"
"2021088460","","0","PA","JME3713","2021","1","2"
"2021067592","","0","PA","3728794","2013","7","1"
"2021106038","","1","PA","PT963H1","2022","7","3"
"2021079977","","0","ME","365655Z","2022","6","1"
"2021085515","","0","TN","U787649","2018","7","2"
"2021014053","","0","OR","HR68824","2022","7","2"
"2021112981","","1","PA","XLV1316","2021","3","3"
"2021123480","","1","","","","7","2"
"2021010748","","0","NY","1380C4","2024","7","2"
"2021077890","","0","ME","273791A","2021","7","1"
"2021066648","","0","ME","271745Z","2021","7","1"
"2021024448","","0","OR","HU70866","2013","7","1"
"2021030545","","0","PA","PT406L5","2021","7","2"
"2021022708","","0","NE","W34291","2021","7","3"
"2021108906","","1","PA","PT890M6","2022","7","2"
"2021056627","","0","ZZ","999999","2021","7","1"
"2021126016","","0","PA","XLY5228","2005","6","2"
"2021045899","","0","TN","T684459","2021","7","3"
"2021041883","","0","NE","27456W","2021","7","2"
"2022001181","","1","PA","0610359","2021","7","2"
"2021107716","","0","ME","243384F","2021","7","1"
"2021116485","","1","VA","162864TM","2021","3","1"
"2021121070","","0","PA","XKJ4932","2022","3","2"
"2021032973","","0","PA","PT548D8","2021","7","2"
"2021059176","","0","NC","AK74651","2021","3","1"
"2021069842","","0","IN","P706433","2021","7","2"
"2022002816","","0","ME","42TLR9209Z","2022","6","2"
"2021097633","","1","ME","227155D","2018","7","1"
"2021022504","","0","PA","PT257H4","2023","7","2"
"2021026203","","0","NJ","TWM28X","2021","7","2"
"2021041573","","0","PA","PT213L9","2021","7","2"
"2021054418","","0","ZZ","UNKNOWN","2022","9","1"
"2021015245","","0","IN","2524087","2019","7","3"
"2021118109","","0","TX","152B540","2021","7","2"
"2021120596","","1","ME","2929945","2029","7","2"
"2021018806","","0","NJ","TRP60S","2021","7","2"
"2021072347","","1","NJ","TWH23L","2020","6","2"
"2021060511","","0","ME","2399843","2019","7","1"
"2021007929","","0","ME","299187","2029","7","2"
"2021118848","","0","ZZ","207132","2007","7","2"
"2021066654","","0","PA","XMN5040","2022","6","2"
"2021002307","","0","ME","2379869","2002","7","1"
"2021013295","","0","PA","NONE","2000","8","5"
"2021086018","","0","PA","PT766J9","2020","7","2"
"2021106155","","0","PA","XKR7663","2022","8","2"
"2021069839","","0","PA","XKX8166","2018","8","3"
"2021006001","","0","ZZ","999999999999","9999","7","2"
"2021030419","","0","PA","170","2021","2","1"
"2021058740","","0","ME","3020408","2030","7","2"
"2021090696","","0","NJ","AW580V","2021","7","2"
"2021017341","","0","ZZ","999999999999","2021","6","1"
"2021028328","","0","ME","256254B","2020","7","1"
"2021073552","","0","TN","U859634","2023","7","2"
"2021023661","","0","VT","88D97","2021","7","3"
"2021119805","","1","","","","3","2"
"2021030125","","0","PA","NONE","2021","7","2"
"2021101688","","1","PA","XLV0293","2022","3","1"
"2021092404","","1","PA","AG82821","2021","7","3"
"2021090694","","0","PA","PT449M4","2009","6","2"
"2021041431","","0","ME","W26232","2021","7","2"
"2021041624","","0","PA","XMG5457","2021","7","1"
"2021013939","","0","ZZ","9999999999","9999","7","2"
"2021035532","","0","","","","8","1"
"2021065169","","0","TN","U573833","2021","7","2"
"2021097884","","0","PA","PT7118P","2021","7","1"
"2021006598","","0","OK","9556LO","2021","7","2"
"2021007049","","0","NJ","TXD92X","2022","7","2"
"2021103380","","0","MX","2585918","2025","7","2"
"2021031761","","0","ME","2680637","2026","7","1"
"2021108906","","1","NJ","TXK33V","2022","3","1"
"2021112981","","1","PA","XLV1316","2021","7","2"
"2021069341","","0","PA","XGM6163","2021","8","2"
"2021121073","","0","TN","063356T","2022","7","1"
"2021104056","","1","PA","XLB3936","2000","6","3"
"2021028800","","0","PA","PT259G9","2021","7","1"
"2021039831","","0","PA","PT0503L","2021","7","1"
"2021049634","","0","IN","P738485","2021","7","1"
