"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2019016401","3","4","2","0","67","W","5","2","2006","0081","25","SPRING GARDEN ST"
"2019080780","","3","01","","67","N","3","4","","","25","33RD ST"
"2019023490","","3","02","","67","N","4","4","","","25","SEDGLEY AV"
"2019093468","3","3","2","1532","67","S","3","2","2009","0101","30","HARBISON AV"
"2019113767","3","5","2","0","67","E","5","2","1004","0020","30","ERIE AV"
"2020015892","","3","01","","67","E","3","4","","","20","FROST ST"
"2019054904","","3","02","","67","S","3","4","","","25","S 12TH ST"
"2019032417","","5","02","","67","N","4","4","","","25","THORNTON RD"
"2019018601","3","7","2","0","67","E","7","2","3019","0010","35","BARTRAM AV"
"2019069801","3","3","2","2253","67","S","3","2","1005","0141","30","CASTOR AV"
"2019034041","3","5","2","0","67","E","5","2","4011","0020","35","MIDVALE AV"
"2019033558","1","3","3","2586","67","N","3","1","0095","0264","55","DELAWARE EX"
"2019080219","3","3","01","756","67","W","3","2","3010","0051","30","MARKET ST"
"2019036213","","4","02","","67","E","5","4","","","25","DEPUE PL"
"2019095112","3","4","3","1887","67","S","3","2","6001","0221","40","ROOSEVELT BL"
"2019118909","","3","02","","67","N","3","4","","","25","G ST"
"2019053523","","6","02","","67","N","6","4","","","25","N 22ND ST"
"2019100781","","4","02","","67","N","3","4","","","25","WALDEMIRE DR"
"2019081751","1","3","03","1613","67","W","3","1","0076","3435","50","SCHUYLKILL EX"
"2019089709","","4","02","","67","N","3","4","","","20","GLENLOCH ST"
"2019018445","","4","02","","67","S","3","4","","","25","F ST"
"2019050459","3","3","3","257","67","E","3","2","2016","0060","30","ALLEGHENY AV"
"2019130779","3","5","03","370","67","S","5","2","3029","0011","25","FIFTEENTH ST"
"2019123295","","5","01","","67","E","5","4","","","20","NOBLE ST"
"2020016428","","3","02","","67","W","4","4","","","","LYCOMING ST"
"2019042684","3","4","1","2971","67","W","4","2","0030","0061","25","GIRARD AV"
"2019074869","","3","02","","67","S","3","4","","","25","S 19TH ST"
