"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
2022060687,"N","Y","Y","Y","1","Y","Y","Y","N","01400","N"," "," "," "," "," "," "," ","N",2
2022075858,"N","N","U","N","0","N","N","N","N","00250","Y","N","N","N","N","0","N","N","N",1
2022072192," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2022043879,"Y","Y","Y","Y","0","N","N","Y","Y","00099","N"," "," "," "," "," "," "," ","N",2
2022032919,"N","U","U","N","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",2
2022037915," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022055664," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022089609,"N","U","U","U","9","U","U","Y","U","00050","N"," "," "," "," "," "," "," ","N",1
2022089681," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022112214," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022047188,"N","U","N","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2022068552,"N","N","N","N","0","N","N","N","N","00400","N"," "," "," "," "," "," "," ","N",1
2022060012," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022070063," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",3
2022098726,"Y","Y","Y","Y","2","Y","Y","Y","Y","01200","N"," "," "," "," "," "," "," ","N",2
2022109189,"N","N","N","N","3","N","Y","Y","Y","00250","N"," "," "," "," "," "," "," ","N",1
2022016143,"Y","Y","U","Y","1","U","Y","Y","Y","01800","Y","Y","Y","U","Y","1","Y","Y","U",1
2022025941,"U","U","N","N","0","U","U","N","N","00449","N"," "," "," "," "," "," "," ","U",1
2022025986,"Y","Y","Y","U","9","U","U","Y","Y","00500","N"," "," "," "," "," "," "," ","N",2
2022074342," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022096767,"N","N","N","U","0","N","N","Y","N","00600","N"," "," "," "," "," "," "," ","N",2
2022095573," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022029242,"U","N","U","U","0","U","U","U","U","00050","N"," "," "," "," "," "," "," ","N",1
2022064954,"U","U","U","U","9","U","U","U","U","99999","U"," "," "," "," "," "," "," ","U",1
2022072632," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022029250,"U","N","U","Y","0","N","N","Y","Y","00150","Y","N","N","N","N","0","Y","Y","N",1
2022098726," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2022060028,"N","U","U","U","0","N","N","Y","U","00150","N"," "," "," "," "," "," "," ","N",2
2022086645," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022044065,"U","U","U","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2022065621," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022107518," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022060063," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022029156," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2022049897,"N","Y","U","Y","1","Y","Y","Y","Y","00650","N"," "," "," "," "," "," "," ","N",1
2022072923,"N","Y","Y","Y","3","N","Y","Y","N","01252","N"," "," "," "," "," "," "," ","N",2
2022091426,"U","U","U","N","0","N","N","Y","Y","00100","N"," "," "," "," "," "," "," ","N",1
2022102955," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022086667," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2022119579," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022031578," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022070500,"N","N","N","N","0","N","N","Y","N","00050","N"," "," "," "," "," "," "," ","N",1
2022055626," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022045446,"N","U","U","Y","1","U","U","U","U","00500","N"," "," "," "," "," "," "," ","N",2
2022068595," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2022069936,"N","Y","U","Y","0","N","N","N","N","00025","N"," "," "," "," "," "," "," ","N",2
2022091246,"N","Y","Y","Y","1","Y","Y","Y","Y","00998","N"," "," "," "," "," "," "," ","N",1
2022090277,"N","U","U","N","0","N","N","U","U","01200","N"," "," "," "," "," "," "," ","N",2
2022023740,"N","N","U","N","0","N","N","U","U","00020","N"," "," "," "," "," "," "," ","N",1
2022056224,"N","U","N","N","0","N","N","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2022096773," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
