"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2023029351","","15","N","3","1","","2","12","Y","SUBA","2014","","","","","","","","02","JF2GPAKC6E8","1","","1","00","Y","E","060","","","1","01","10","01","06","NJ","1","06","T4W"
"2023051100","","09","N","9","1","","1","09","Y","NISS","2021","","","","","","","","01","JN1BJ1AW9MW","1","","1","00","Y","S","025","","","2","01","05","01","01","PA","2","06","P"
"2023036608","","04","N","1","2","","1","12","Y","HYUN","2012","","","","","","","","","5NPEC4AC3CH","0","","1","00","N","","000","","","3","02","05","06","01","PA","2","01","P4D"
"2023055413","","04","N","9","1","","1","12","U","ACUR","2008","","","","","","","","02","19UUA66228A","1","","1","00","N","S","035","","","1","01","12","99","03","PA","1","01","P4D"
"2023062192","","15","N","3","1","","1","03","U","HOND","2007","","","","","","","","01","JHLRE48777C","1","","1","00","Y","S","020","","","2","01","08","01","01","PA","2","06","T4W"
"2023069081","","09","N","3","1","","1","12","U","BMW","2020","","","","","","","","01","3MW5R7J03L8","2","","1","00","Y","S","999","","","1","01","03","01","01","PA","1","01","P"
"2023020217","","02","N","3","4","","1","12","U","CHEV","2011","","","","","","","","99","2G1FK1EJ1B9","1","","3","00","Y","N","999","","","1","05","05","17","09","PA","0","01","PCP"
"2023007777","","09","N","3","1","","1","05","Y","BMW","2016","","","","","","","","02","WBA7F2C57GG","2","","4","00","Y","S","065","","","1","01","05","16","06","NJ","0","01","P"
"2023021717","","","N","","","","","","","","","Y","04","99","1","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2023006539","","15","N","3","1","","1","03","U","CHEV","2010","","","","","","","","01","2CNALDEW0A6","1","","1","00","Y","N","020","","","2","01","01","01","01","DE","2","06","T4W"
"2023032536","","69","N","2","1","","1","08","Y","MAZD","2019","","","","","","","","01","JM3KFBDM2K0","1","","1","00","N","N","045","","","2","01","01","01","01","PA","2","06","T"
"2023026133","","69","N","2","1","","1","06","Y","HYUN","2022","","","","","","","","01","5NMJECAE1NH","2","","1","00","N","S","050","","","2","01","03","01","03","PA","2","06","T"
"2023034408","","41","N","2","4","","1","12","N","FORD","2006","","","","","","","","99","1FTNE24W16H","1","","1","46","N","S","999","","","1","05","09","01","13","PA","1","07","TCG"
