"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
2024001274,"N","Y","N","Y","3","N","Y","Y","Y","01450","N"," "," "," "," "," "," "," ","N",1
2023089096,"N","N","N","N","3","Y","Y","Y","N","01100","N"," "," "," "," "," "," "," ","N",1
2023078177,"N","Y","Y","Y","1","U","N","Y","Y","01103","N"," "," "," "," "," "," "," ","N",1
2023031411," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023032220,"U","U","N","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","U",2
2023046995," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023075015,"N","N","N","N","0","N","N","Y","N","00600","N"," "," "," "," "," "," "," ","N",1
2023091199," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023049996," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2023049252,"Y","Y","U","Y","1","U","Y","Y","Y","00050","N"," "," "," "," "," "," "," ","N",1
2023044400," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023102417,"N","U","U","U","9","U","U","U","U","00004","N"," "," "," "," "," "," "," ","N",1
2023016067," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2023060198,"U","U","Y","U","9","U","U","Y","U","00023","N"," "," "," "," "," "," "," ","N",2
2023076386,"N","N","Y","N","0","N","N","N","N","00900","N"," "," "," "," "," "," "," ","N",1
2023074576,"U","U","U","U","0","N","U","U","U","00500","N"," "," "," "," "," "," "," ","N",2
2023098984,"N","U","Y","Y","1","U","Y","Y","Y","00648","N"," "," "," "," "," "," "," ","N",1
2023058019,"N","Y","N","N","0","N","N","Y","N","00125","N"," "," "," "," "," "," "," ","N",1
2023048509," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023078282,"N","N","N","N","0","N","N","N","N","00400","N"," "," "," "," "," "," "," ","N",1
2023034396," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2023043779,"N","N","U","N","0","N","N","Y","Y","00250","N"," "," "," "," "," "," "," ","N",1
